blockNumber,timeStamp,value,functionName
1172286,1711154387,2.21657,mint()
1172303,1711154421,2.23264,mint()
1172312,1711154439,2.24888,mint()
1172330,1711154475,2.26518,mint()
1172377,1711154569,2.2815,mint()
1172705,1711155225,2.29685,mint()
1173415,1711156645,2.31084,mint()
1174215,1711158245,2.32453,mint()
1174489,1711158793,2.34052,mint()
1179093,1711168001,2.33927,mint()
1180043,1711169901,2.35254,mint()
1186627,1711183069,2.34362,mint()
1187391,1711184597,2.35767,mint()
1188651,1711187117,2.36984,mint()
1188967,1711187749,2.38581,mint()
1197696,1711205207,2.36819,mint()
1200476,1711210767,2.37432,mint()
1202511,1711214837,2.38347,mint()
1212264,1711234343,2.3618,mint()
1222562,1711254939,2.33823,mint()
1269284,1711348383,2.17745,mint()
1281824,1711373463,2.14758,mint()
1281829,1711373473,2.16321,mint()
1281842,1711373499,2.17891,mint()
1282685,1711375185,2.1917,mint()
1285384,1711380583,2.1977,mint()
1286498,1711382811,2.20955,mint()
1294250,1711398315,2.19683,mint()
1304632,1711419079,2.17458,mint()
1317261,1711444337,2.14443,mint()
1334037,1711477889,2.10003,mint()
1338482,1711486779,2.0996,mint()
1338723,1711487261,2.11402,mint()
1349124,1711508063,2.09254,mint()
1365870,1711541555,2.0493,mint()
1369388,1711548591,2.05207,mint()
1379714,1711569243,2.03147,mint()
1412758,1711635331,1.93577,mint()
1429326,1711668467,1.91016,mint()
1431668,1711673151,1.91652,mint()
1431694,1711673203,1.93041,mint()
1435684,1711681183,1.93148,mint()
1453680,1711717175,1.88766,mint()
1455564,1711720943,1.89536,mint()
1456057,1711721929,1.90757,mint()
1456938,1711723691,1.91865,mint()
1461109,1711732033,1.91909,mint()
1465199,1711740213,1.91986,mint()
1466798,1711743411,1.92864,mint()
1468646,1711747107,1.93667,mint()
1469281,1711748377,1.94873,mint()
1505968,1711821751,1.84557,mint()
1510702,1711831219,1.84429,mint()
1530243,1711870301,1.79773,mint()
1532412,1711874639,1.80423,mint()
1532774,1711875363,1.81628,mint()
1560136,1711930087,1.7473,mint()
1583564,1711976943,1.69211,mint()
1606325,1712022465,1.64049,mint()
1609022,1712027859,1.64498,mint()
1630880,1712071575,1.59721,mint()
1637942,1712085699,1.58988,mint()
1660461,1712130737,1.54203,mint()
1660532,1712130879,1.55305,mint()
1664825,1712139465,1.55313,mint()
1676079,1712161973,1.53513,mint()
1682717,1712175249,1.52916,mint()
1683321,1712176457,1.53874,mint()
1684881,1712179577,1.54591,mint()
1688388,1712186591,1.54801,mint()
1707123,1712224061,1.511,mint()
1718119,1712246053,1.49412,mint()
1762433,1712334681,1.39703,mint()
1768857,1712347529,1.3921,mint()
1774729,1712359273,1.38849,mint()
1800507,1712410829,1.33933,mint()
1832134,1712474083,1.27927,mint()
1832139,1712474093,1.28857,mint()
1832145,1712474105,1.29795,mint()
1832152,1712474119,1.29793,mint()
1832158,1712474131,1.30737,mint()
1850563,1712510941,1.27682,mint()
1851163,1712512141,1.28481,mint()
1862287,1712534389,1.2702,mint()
1864040,1712537895,1.2757,mint()
1872366,1712554547,1.26714,mint()
1872390,1712554595,1.26709,mint()
1879971,1712569757,1.26016,mint()
1880016,1712569847,1.26007,mint()
1882866,1712575547,1.26318,mint()
1883068,1712575951,1.27195,mint()
1889258,1712588331,1.26797,mint()
1890820,1712591455,1.27702,mint()
1899364,1712608543,1.26484,mint()
1899950,1712609715,1.2728,mint()
1901732,1712613279,1.27826,mint()
1904662,1712619139,1.28123,mint()
1907873,1712625561,1.28362,mint()
1912244,1712634303,1.28351,mint()
1914712,1712639239,1.28751,mint()
1918552,1712646919,1.28854,mint()
1923950,1712657715,1.28622,mint()
1923968,1712657751,1.29556,mint()
1924295,1712658405,1.30426,mint()
1926662,1712663139,1.30855,mint()
1926665,1712663145,1.31807,mint()
1926676,1712663167,1.31805,mint()
1926680,1712663175,1.32764,mint()
1926748,1712663311,1.33715,mint()
1926760,1712663335,1.33713,mint()
1930639,1712671093,1.33812,mint()
1930694,1712671203,1.34774,mint()
1930701,1712671217,1.35754,mint()
1933507,1712676829,1.361,mint()
1933635,1712677085,1.37062,mint()
1933641,1712677097,1.38059,mint()
1933695,1712677205,1.39051,mint()
1933721,1712677257,1.40059,mint()
1933843,1712677501,1.41049,mint()
1933857,1712677529,1.42073,mint()
1935613,1712681041,1.42686,mint()
1935649,1712681113,1.43717,mint()
1937141,1712684097,1.44402,mint()
1937768,1712685351,1.453,mint()
1940926,1712691667,1.45588,mint()
1940943,1712691701,1.4558,mint()
1941023,1712691861,1.46621,mint()
1941247,1712692309,1.47646,mint()
1941283,1712692381,1.48699,mint()
1941617,1712693049,1.49699,mint()
1941771,1712693357,1.5075,mint()
1941802,1712693419,1.5184,mint()
1941833,1712693481,1.52938,mint()
1941873,1712693561,1.54041,mint()
1941917,1712693649,1.55152,mint()
1943676,1712697167,1.55821,mint()
1943687,1712697189,1.56952,mint()
1943698,1712697211,1.58093,mint()
1943707,1712697229,1.59242,mint()
1951237,1712712289,1.58386,mint()
1951285,1712712385,1.59527,mint()
1951314,1712712443,1.6068,mint()
1964717,1712739249,1.58248,mint()
1970393,1712750601,1.57888,mint()
1970654,1712751123,1.58969,mint()
1988540,1712786895,1.55386,mint()
1997783,1712805381,1.54106,mint()
1998229,1712806273,1.55113,mint()
1998261,1712806337,1.56234,mint()
1998406,1712806627,1.57335,mint()
2017350,1712844515,1.53515,mint()
2020057,1712849929,1.53932,mint()
2029444,1712868703,1.52629,mint()
2043034,1712895883,1.50271,mint()
2048107,1712906029,1.5008,mint()
2048167,1712906149,1.51158,mint()
2050258,1712910331,1.51724,mint()
2061378,1712932571,1.50002,mint()
2100796,1713011407,1.41412,mint()
2109714,1713029243,1.40325,mint()
2109944,1713029703,1.40271,mint()
2127047,1713063909,1.3729,mint()
2127075,1713063965,1.37284,mint()
2136637,1713083089,1.36079,mint()
2141720,1713093255,1.35907,mint()
2143882,1713097579,1.364,mint()
2145158,1713100131,1.37098,mint()
2156073,1713121961,1.35588,mint()
2156228,1713122271,1.35552,mint()
2158208,1713126231,1.36086,mint()
2162331,1713134477,1.36131,mint()
2162352,1713134519,1.37118,mint()
2162359,1713134533,1.38115,mint()
2162364,1713134543,1.39119,mint()
2162369,1713134553,1.40131,mint()
2164769,1713139353,1.40584,mint()
2169714,1713149243,1.40437,mint()
2169727,1713149269,1.41457,mint()
2177735,1713165285,1.40583,mint()
2179226,1713168267,1.41253,mint()
2179742,1713169299,1.42159,mint()
2189050,1713187915,1.40973,mint()
2193390,1713196595,1.40967,mint()
2194338,1713198491,1.41768,mint()
2194398,1713198611,1.42786,mint()
2201703,1713213221,1.42076,mint()
2208571,1713226957,1.41466,mint()
2222588,1713254991,1.39179,mint()
2224865,1713259545,1.39659,mint()
2230954,1713271723,1.39254,mint()
2238576,1713286967,1.38473,mint()
2259485,1713328785,1.34668,mint()
2259497,1713328809,1.35646,mint()
2259507,1713328829,1.36631,mint()
2260030,1713329875,1.37507,mint()
2260843,1713331501,1.38318,mint()
2263119,1713336053,1.38794,mint()
2273564,1713356943,1.37374,mint()
2275483,1713360781,1.37929,mint()
2276316,1713362447,1.38739,mint()
2281938,1713373691,1.38436,mint()
2288605,1713387025,1.37891,mint()
2288617,1713387049,1.38893,mint()
2295006,1713399827,1.38412,mint()
2311718,1713433251,1.35559,mint()
2314595,1713439005,1.35889,mint()
2323741,1713457297,1.34791,mint()
2324673,1713459161,1.3556,mint()
2330254,1713470323,1.35274,mint()
2330315,1713470445,1.36245,mint()
2345049,1713499913,1.33882,mint()
2345054,1713499923,1.34856,mint()
2347696,1713505207,1.35237,mint()
2347707,1713505229,1.3622,mint()
2358350,1713526515,1.3478,mint()
2367033,1713543881,1.33796,mint()
2369257,1713548329,1.34268,mint()
2410186,1713630187,1.26259,mint()
2410194,1713630203,1.27177,mint()
2438834,1713687483,1.22087,mint()
2453435,1713716685,1.19996,mint()
2466164,1713742143,1.18313,mint()
2470019,1713749853,1.18406,mint()
2472070,1713753955,1.18857,mint()
2472099,1713754013,1.18851,mint()
2472213,1713754241,1.19694,mint()
2483285,1713776385,1.18344,mint()
2498487,1713806789,1.17047,mint()
2502290,1713814395,1.17148,mint()
2502307,1713814429,1.17998,mint()
2502330,1713814475,1.18853,mint()
2519837,1713849489,1.16249,mint()
2520150,1713850115,1.17034,mint()
2525095,1713860005,1.16911,mint()
2531613,1713873041,1.16486,mint()
2538728,1713887271,1.15935,mint()
2543582,1713896979,1.15835,mint()
2544263,1713898341,1.16545,mint()
2548697,1713907209,1.1652,mint()
2550728,1713911271,1.16967,mint()
2551374,1713912563,1.17692,mint()
2562172,1713934159,1.1642,mint()
2565158,1713940131,1.16679,mint()
2565165,1713940145,1.17528,mint()
2565230,1713940275,1.17515,mint()
2568747,1713947309,1.17673,mint()
2583282,1713976379,1.15672,mint()
2585383,1713980581,1.16104,mint()
2586583,1713982981,1.16714,mint()
2586623,1713983061,1.16706,mint()
2586634,1713983083,1.17553,mint()
2588902,1713987619,1.17959,mint()
2594128,1713998071,1.17781,mint()
2594193,1713998201,1.18625,mint()
2596272,1714002359,1.19072,mint()
2598051,1714005917,1.19582,mint()
2604259,1714018333,1.19203,mint()
2606044,1714021903,1.19712,mint()
2621947,1714053709,1.17405,mint()
